# #GHz real imag
5.241250000000000142e+01 -1.233619812979478980e-01 4.792482510681467245e-02
5.242499999999999716e+01 -1.067212610097161285e-01 7.189476712061008967e-02
5.243750000000000000e+01 -8.468183126292785912e-02 9.124639763663827674e-02
5.245000000000000284e+01 -5.864192702373366428e-02 1.044396636675855722e-01
5.246249999999999858e+01 -3.045407443387795898e-02 1.108501847941950891e-01
5.247500000000000142e+01 -1.666052512502576083e-03 1.104053916868169005e-01
5.248749999999999716e+01 2.617179263635796213e-02 1.029600752470049979e-01
5.250000000000000000e+01 5.146899997571351831e-02 8.908374545766450936e-02
5.251250000000000284e+01 7.272148381839703413e-02 6.928957874729796407e-02
5.252499999999999858e+01 8.834775075268307132e-02 4.490617561818616849e-02
5.253750000000000142e+01 9.754637619338139831e-02 1.746877359473987187e-02
5.254999999999999716e+01 9.996961295247250301e-02 -1.126377021247521037e-02
5.256250000000000000e+01 9.552177309490272883e-02 -3.996498245450230691e-02
5.257500000000000284e+01 8.426300476358719593e-02 -6.705611055180404900e-02
5.258749999999999858e+01 6.648319597060371733e-02 -9.063453722882462704e-02
5.260000000000000142e+01 4.347099192806926776e-02 -1.092265745933445331e-01
5.261249999999999716e+01 1.674889158189204336e-02 -1.218032472870185234e-01
5.262500000000000000e+01 -1.217546703354467803e-02 -1.280446224842441694e-01
5.263750000000000284e+01 -4.199620573712625760e-02 -1.274555577950282625e-01
5.264999999999999858e+01 -7.123507213356049250e-02 -1.196801742745865482e-01
5.266250000000000142e+01 -9.772549970621505211e-02 -1.052087208532530849e-01
5.267499999999999716e+01 -1.201140804067015594e-01 -8.505419977741665583e-02
5.268750000000000000e+01 -1.374059615765859665e-01 -6.019951619245794694e-02
5.270000000000000284e+01 -1.486814899726707495e-01 -3.196613215116210494e-02
5.271249999999999858e+01 -1.532809878390533065e-01 -1.800159226697961579e-03
5.272500000000000142e+01 -1.508546584244100375e-01 2.859952900182331087e-02
5.273749999999999716e+01 -1.415611107261272039e-01 5.763528182386934429e-02
5.275000000000000000e+01 -1.262220464099535755e-01 8.359813165919086075e-02
5.276250000000000284e+01 -1.055877420033478620e-01 1.054463837223223455e-01
